Connection Accepted: /127.0.0.13:12345

tiempo 1699286638600  tiempo 2 699300857200duration 14218600
tiempo 1699313993400  tiempo 2 699325423400duration 11430000
tiempo 1699334965500  tiempo 2 699346135900duration 11170400
tiempo 1699355999300  tiempo 2 699367440300duration 11441000
tiempo 1699374398700  tiempo 2 699381828900duration 7430200
tiempo 1699388803600  tiempo 2 699395101600duration 6298000
tiempo 1699404217700  tiempo 2 699414358300duration 10140600
tiempo 1699423064600  tiempo 2 699431509100duration 8444500
tiempo 1699439298500  tiempo 2 699448041800duration 8743300
tiempo 1699459031900  tiempo 2 699465987400duration 6955500
tiempo 1699472869600  tiempo 2 699479122000duration 6252400
tiempo 1699488394700  tiempo 2 699495525400duration 7130700
tiempo 1699501920300  tiempo 2 699507489200duration 5568900
tiempo 1699513840000  tiempo 2 699519528600duration 5688600
tiempo 1699526119400  tiempo 2 699534387800duration 8268400
tiempo 1699542353200  tiempo 2 699548317900duration 5964700
tiempo 1699554473500  tiempo 2 699558762200duration 4288700
tiempo 1699564448400  tiempo 2 699568440000duration 3991600
tiempo 1699573120800  tiempo 2 699577070300duration 3949500
tiempo 1699581781500  tiempo 2 699586034300duration 4252800
tiempo 1699590803100  tiempo 2 699594875700duration 4072600
tiempo 1699599766000  tiempo 2 699603862000duration 4096000
tiempo 1699608534900  tiempo 2 699614108300duration 5573400
tiempo 1699620806300  tiempo 2 699628395100duration 7588800
tiempo 1699634147200  tiempo 2 699638667400duration 4520200
tiempo 1699643558400  tiempo 2 699647640400duration 4082000
tiempo 1699652202100  tiempo 2 699655818100duration 3616000
tiempo 1699660138800  tiempo 2 699663999400duration 3860600
tiempo 1699668443100  tiempo 2 699672303300duration 3860200
tiempo 1699677322300  tiempo 2 699682297700duration 4975400
tiempo 1699687389700  tiempo 2 699691439200duration 4049500
tiempo 1699695927800  tiempo 2 699700252400duration 4324600
tiempo 1699706553500  tiempo 2 699715774800duration 9221300
tiempo 1699720886100  tiempo 2 699725333300duration 4447200
tiempo 1699731132500  tiempo 2 699736225500duration 5093000
tiempo 1699742108500  tiempo 2 699747270200duration 5161700
tiempo 1699752993400  tiempo 2 699756982200duration 3988800
tiempo 1699761593300  tiempo 2 699765415300duration 3822000
tiempo 1699769865300  tiempo 2 699773810700duration 3945400
tiempo 1699778338300  tiempo 2 699782216300duration 3878000
tiempo 1699787028200  tiempo 2 699790613500duration 3585300
tiempo 1699795085600  tiempo 2 699799251900duration 4166300
tiempo 1699804894000  tiempo 2 699809200600duration 4306600
tiempo 1699813793400  tiempo 2 699817713700duration 3920300
tiempo 1699822277200  tiempo 2 699825973300duration 3696100
tiempo 1699830567900  tiempo 2 699834895900duration 4328000
tiempo 1699839623000  tiempo 2 699843463500duration 3840500
tiempo 1699848400200  tiempo 2 699852215300duration 3815100
tiempo 1699856817800  tiempo 2 699860554700duration 3736900
tiempo 1699865261400  tiempo 2 699869648500duration 4387100
tiempo 1699875505000  tiempo 2 699879512700duration 4007700
tiempo 1699884237000  tiempo 2 699890379100duration 6142100
tiempo 1699895160300  tiempo 2 699898822600duration 3662300
tiempo 1699903150700  tiempo 2 699907139200duration 3988500
tiempo 1699911672700  tiempo 2 699915250500duration 3577800
tiempo 1699919886600  tiempo 2 699923820700duration 3934100
tiempo 1699928411000  tiempo 2 699932431000duration 4020000
tiempo 1699937162100  tiempo 2 699943162100duration 6000000
tiempo 1699947630200  tiempo 2 699951217300duration 3587100
tiempo 1699955679000  tiempo 2 699959375800duration 3696800
tiempo 1699963841400  tiempo 2 699967358600duration 3517200
tiempo 1699971735100  tiempo 2 699975282600duration 3547500
tiempo 1699979820400  tiempo 2 699983369100duration 3548700
tiempo 1699988064800  tiempo 2 699991822100duration 3757300
tiempo 1699996428900  tiempo 2 700000131200duration 3702300
tiempo 1700004627600  tiempo 2 700008134700duration 3507100
tiempo 1700012450700  tiempo 2 700016007400duration 3556700
tiempo 1700020855200  tiempo 2 700024639400duration 3784200
tiempo 1700029367200  tiempo 2 700033434200duration 4067000
tiempo 1700038149800  tiempo 2 700042034100duration 3884300
tiempo 1700044344500  tiempo 2 700047911600duration 3567100
tiempo 1700052362600  tiempo 2 700056387000duration 4024400
tiempo 1700061896000  tiempo 2 700066352300duration 4456300
tiempo 1700071105800  tiempo 2 700074860400duration 3754600
tiempo 1700079335600  tiempo 2 700083096300duration 3760700
tiempo 1700085472100  tiempo 2 700089562500duration 4090400
tiempo 1700094769100  tiempo 2 700100042000duration 5272900
tiempo 1700105616100  tiempo 2 700109909200duration 4293100
tiempo 1700115584800  tiempo 2 700120081500duration 4496700
tiempo 1700126294100  tiempo 2 700133042700duration 6748600
tiempo 1700138530900  tiempo 2 700142306400duration 3775500
tiempo 1700146667200  tiempo 2 700150460800duration 3793600
tiempo 1700155177300  tiempo 2 700158898800duration 3721500
tiempo 1700163639900  tiempo 2 700167774700duration 4134800
tiempo 1700172438700  tiempo 2 700176847700duration 4409000
tiempo 1700182231100  tiempo 2 700186442800duration 4211700
tiempo 1700191091000  tiempo 2 700194680400duration 3589400
tiempo 1700199088400  tiempo 2 700202560300duration 3471900
tiempo 1700206956500  tiempo 2 700210678900duration 3722400
tiempo 1700213065700  tiempo 2 700216720900duration 3655200
tiempo 1700221138900  tiempo 2 700224585700duration 3446800
tiempo 1700228927400  tiempo 2 700232434100duration 3506700
tiempo 1700236917400  tiempo 2 700240432200duration 3514800
tiempo 1700245098600  tiempo 2 700248651700duration 3553100
tiempo 1700253635000  tiempo 2 700258268800duration 4633800
tiempo 1700263206900  tiempo 2 700266684200duration 3477300
tiempo 1700269163800  tiempo 2 700273513400duration 4349600
tiempo 1700279730300  tiempo 2 700283732000duration 4001700
tiempo 1700288988500  tiempo 2 700293099600duration 4111100
tiempo 1700297741900  tiempo 2 700301249600duration 3507700
tiempo 1700305516600  tiempo 2 700309592400duration 4075800
tiempo 1700316235200  tiempo 2 700320916100duration 4680900
tiempo 1700326207900  tiempo 2 700331107500duration 4899600
tiempo 1700336975900  tiempo 2 700341261600duration 4285700
